Time,3 Planets (Aligned Omega),4 Planets (Aligned Omega),5 Planets (Aligned Omega),7 Planets (Aligned Omega),8 Planets (Aligned Omega),3 Planets (Random Omega),4 Planets (Random Omega),5 Planets (Random Omega),7 Planets (Random Omega),8 Planets (Random Omega),
684768.4768476848,21.485066286140423,21.92373324453194,43.84832047429347,12.382593874621882,0.6086605740265041,19.496995612485854,20.796677949986332,nan,nan,0.6087083238723601,
684868.486848685,21.484068433326783,20.91650477336382,43.89839369116404,12.38245946385923,0.6086696487748146,19.496247111380477,20.858298574737887,nan,nan,0.6087028831796175,
684968.4968496851,21.482177104900224,22.91450416404421,43.81324598566188,12.383125281561036,0.6086696200651922,19.495587494350502,20.899884072383227,nan,nan,0.6086929427048464,
685068.506850685,20.475853366172217,22.916531918389907,43.74718686765462,12.382946866235274,0.6086828005884098,19.4976481986557,20.929805341449878,36.296922309130714,12.393903937961202,0.6086943936821121,
685168.5168516851,19.470711771024327,22.911271901080816,43.747628529748376,12.382806251036419,0.6086774922511304,19.495885806286132,20.942174571368792,36.29770674398444,12.394759114175239,0.6086826385105818,
685268.5268526853,19.472387764692467,23.125059629288003,45.83657844276325,12.383588611873623,0.6086911979061553,19.496357691062528,20.93171834640439,36.29521031245686,nan,0.6086812417481009,
685368.5368536854,19.475742849562142,23.107811243676977,43.85597758897385,12.383324674189396,0.6086870929641113,19.499090945687215,20.930526257753254,nan,nan,0.6086751466884225,
685468.5468546855,19.487350957624784,23.12033429295267,43.809418110941856,12.383010729059045,0.6086970921719734,19.497361456021597,20.929156540236846,36.29448795340061,nan,0.6086693658853574,
685568.5568556855,19.51245360297601,22.03208463317635,47.89587775626145,12.383564749289018,0.6086968070893419,19.497526754024157,20.92826998724159,36.2953900700648,nan,0.6086650612156999,
685668.5668566857,19.53660790656101,23.109603654586188,43.69567377474282,12.383422818991187,0.6087021792953238,19.499077955500667,20.923865276775384,36.296639983732405,nan,0.6086630957621103,
685768.5768576858,19.51588226477224,23.09612885459588,45.78479016205105,12.383110497738635,0.6087013259954084,19.497745477861894,20.92030692115635,36.29496045655918,nan,0.6086571460552582,
685868.586858686,19.49433890885178,23.10179171750105,43.788734408532626,12.383197825763997,0.6087097837036027,19.49912404611047,20.92026067310653,36.29597160005926,nan,0.6086609106684331,
685968.5968596861,20.491866147478248,21.96447558736574,45.794826206126885,12.382798036427248,0.6086976253704264,19.49945437130312,20.926175551665203,36.29671840905713,nan,0.6086638418776256,
686068.6068606862,20.48433820093034,24.832091427756186,43.83198277311452,12.382661282085762,0.6087005569384821,19.49781720463742,nan,36.297124510326114,nan,0.6086638399040414,
686168.6168616861,20.47949399061279,22.030406319266522,43.839679475137714,12.383200988612762,0.6086981988841641,19.4999700734054,nan,36.29624577508499,nan,0.6086610590654751,
686268.6268626862,20.477017394822894,21.895966854606908,43.83640967682018,12.382778998335938,0.6086938693621813,19.49950032494137,nan,36.29363145383943,nan,0.6086717230239664,
686368.6368636864,20.47575292011909,22.034573039539172,43.7953529408142,12.382372301287354,0.6086983087070341,19.498435185646006,nan,36.296642921573884,nan,0.6086742563029085,
686468.6468646865,21.481598525087087,25.833405436371613,43.822298225463655,12.382758559807879,0.6086962275790042,19.500089967754274,nan,36.29619355002226,nan,0.6086776859960004,
686568.6568656866,21.479353702770577,21.971021869799966,43.867140255998784,12.382624685947311,0.6086888469479598,19.500119629499704,20.97406895059812,36.29684576217129,nan,0.6086821595222884,
686668.6668666867,21.47996298415402,22.024316006317196,43.83751126178649,12.38257683025807,0.6086907523062792,19.50052170540989,20.986783064433332,nan,nan,0.6086829834914578,
