System,Planet Pair,Variation,Fractional Variation
sysSim_10_randomO.csv,Planets 1 and 4,0.05690788104891724,2.3685064226686396
sysSim_10_randomO.csv,Planets 2 and 4,0.055402641248220974,2.2608784669980375
sysSim_10_randomO.csv,Planets 3 and 4,0.059029988353638096,2.108458923533388
sysSim_10_randomO.csv,Planets 1 and 5,0.05057296724232909,2.6724706171594756
sysSim_10_randomO.csv,Planets 2 and 5,0.04898784576957668,2.4141946628428856
sysSim_10_randomO.csv,Planets 3 and 5,0.0571361180247109,2.3019422128406775
sysSim_10_randomO.csv,Planets 4 and 5,0.03831145814597137,0.9293621761107114
sysSim_10_randomO.csv,Planets 1 and 6,0.058822873226703216,2.237777462062932
sysSim_10_randomO.csv,Planets 2 and 6,0.05171273034356447,1.9240832834746593
sysSim_10_randomO.csv,Planets 3 and 6,0.0544135807282453,1.9544092262439463
sysSim_10_randomO.csv,Planets 4 and 6,0.06379938818489493,1.9095290591748122
sysSim_10_randomO.csv,Planets 5 and 6,0.053778099539392735,2.0571533838918823
sysSim_10_randomO.csv,Planets 1 and 7,0.03890225661769011,2.415592701963919
sysSim_10_randomO.csv,Planets 2 and 7,0.03040053790003898,1.8931039347444696
sysSim_10_randomO.csv,Planets 3 and 7,0.03197303510538991,1.8861416691603705
sysSim_10_randomO.csv,Planets 4 and 7,0.04097401854665908,1.619688996497393
sysSim_10_randomO.csv,Planets 5 and 7,0.03521060608612358,1.827259881651355
sysSim_10_randomO.csv,Planets 6 and 7,0.012150466980816364,0.543836336381786
sysSim_12_randomO.csv,Planets 1 and 2,0.08006449233212111,1.257302701192982
sysSim_12_randomO.csv,Planets 1 and 3,0.03994147703345277,0.46949778466392467
sysSim_12_randomO.csv,Planets 2 and 3,0.040468071001766415,1.2201476190291596
sysSim_12_randomO.csv,Planets 1 and 4,0.036590147458289576,0.43284777244320044
sysSim_12_randomO.csv,Planets 2 and 4,0.03629886935282452,1.1287952940428154
sysSim_12_randomO.csv,Planets 3 and 4,0.016512353074887902,0.4256081404432157
sysSim_13.csv,Planets 1 and 2,0.08767289324511518,0.029580880051226003
sysSim_13.csv,Planets 1 and 3,0.09980129897261047,0.033713559710436034
sysSim_13.csv,Planets 2 and 3,0.0632198636195338,0.021370636665683507
