Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft
291.48936461702135,0.008276881834297985,0.004599788699346817,2.0018641972490298e-05,0.00038563423395334995,0.009239556702101154,0.0027012293912852324,0.0003998739075869571,0.00025153284701971153,0.008222732507660863,0.004242190205286109,0.00039333510195306977,0.0029496583602991342,0.002223597372186072,0.005675939908359621,0.007541737809541213,7.216592115013415e-05
291.40443181847326,0.008275473738705269,0.00459902591941948,2.0013995938411585e-05,0.0003855680050852582,0.009243191782907,0.0027107280784101602,0.0003994037781951733,0.0002513936101107145,0.008212267112047571,0.004185336097155154,0.00039000240376208347,0.002949644151650815,0.0022148786314340973,0.005340334234284856,0.007545969126702183,6.783072510715057e-05
291.3195485001457,0.008274119974143006,0.004598226985423453,2.0018032493374016e-05,0.00038550723795694174,0.009236308592337681,0.002712609132093124,0.00039929980391236966,0.00025139926297402046,0.008356609772720769,0.004263833648014676,0.00039229598071098396,0.0029477330094865254,0.0017545445207570794,0.005543777020658916,0.007535550127362094,6.167980904439058e-05
291.2347146188119,0.008272798094967093,0.004597522050549339,2.0004888032014673e-05,0.00038543889438293354,0.009233480521292116,0.002710078764943102,0.00039939664909965526,0.0002513767484920619,0.008371841249458912,0.004244369128528176,0.00039038465350175073,0.0029492559135246336,0.0018058843037038054,0.005550888214433519,0.007543768151907636,6.815620599433181e-05
291.14993013129555,0.008271392648339666,0.004596759503193254,2.0000724546256178e-05,0.0003853733533416053,0.009233715661306303,0.0027114193436826753,0.0004000785401011607,0.00025216344001213536,0.008342963292079866,0.004241551452624171,0.0003944202015972318,0.0029499611624194447,0.0018438138896171407,0.005492295511013862,0.0075378822049056125,5.984748436664108e-05
291.06519499447035,0.008270045069251294,0.004595957373418428,1.9998809120480842e-05,0.0003853088542719854,0.00923503469010604,0.0027167635212916484,0.0003969466130317217,0.00025050008798259855,0.008181896159873811,0.0040272114424346325,0.0003797318417285394,0.0029468186202624767,0.0024849718168932656,0.004626066908567995,0.007549952964921121,7.415660878093337e-05
290.98050916526046,0.008268708585141183,0.0045952468708749675,1.9994795805629648e-05,0.0003852448944667005,0.009228284867980325,0.0027101748914217555,0.0003979256224030751,0.0002513249923504762,0.008616609493885836,0.004574499493191661,0.0003840384517552052,0.0029486001633243883,0.0009044327648082494,0.006677998916108084,0.007546103673698965,6.81802915288763e-05
290.89587260063996,0.008267307961876644,0.004594483909448655,1.9991105904542672e-05,0.0003851806916825028,0.009226831480816756,0.0027111253328485512,0.0003983558326589021,0.0002513838680799014,0.008496240217760447,0.004428452932241385,0.0003881689643280143,0.0029470954936308873,0.001222038084065717,0.0061195634546137405,0.007537147341277683,6.058043211875572e-05
290.8112852576331,0.008265952627953817,0.004593674906588862,1.999201841640744e-05,0.00038511686744129795,0.009226007308068477,0.0027115398292137,0.0003986297997620859,0.0002512989496091885,0.008461992517045085,0.004390412587776615,0.0003861398808046172,0.0029492391306197205,0.001328722487360574,0.005962700342545331,0.007546731612795396,6.975858845572022e-05
290.72674709331403,0.008264622647990149,0.0045929672090321595,1.9982849597351394e-05,0.0003850539806218067,0.009224502373697591,0.0027115675649461196,0.00039846868526736083,0.0002512083024704796,0.008457505713010911,0.00438651439060014,0.00038632927215854893,0.002947546364067779,0.0013295480276965428,0.005935818312166215,0.0075434682106189825,6.822843671290579e-05
290.6422580648068,0.00826323018934415,0.004592209595500638,1.997840789702983e-05,0.00038498981533867995,0.009222267703400866,0.0027112665690347602,0.0003985957162916881,0.0002513863309063524,0.0084580199156645,0.004381355146646158,0.000390424527761818,0.0029495250604491797,0.0013506378524964187,0.005911124922529931,0.007533365599350617,7.505990169255939e-05
290.55781812928535,0.008261853400998023,0.00459140635405573,2.0002300545850247e-05,0.0003849130323048607,0.00922097419103575,0.0027113661927416015,0.0003987823254767777,0.0002518580084647118,0.00844875480835503,0.004374267090275199,0.00038781411660332427,0.002950857103178538,0.001364952571773871,0.005879800802156801,0.007543822673660202,6.100627184518968e-05
290.47342724397333,0.008260547274349979,0.004590697341261634,1.997674963841857e-05,0.0003848582724483874,0.009220505364910732,0.0027076750636525044,0.0003982533806768382,0.0002504828649639077,0.008442380783993035,0.004342999787829744,0.00038482160434335735,0.0029426674937542336,0.001341178974647902,0.005890663918458635,0.007543937107710167,6.325371948436527e-05
