Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft
483.8413207552008,0.011453132254655067,0.0647247796548593,0.01260059791551006,0.008110385648325587,0.029082142034748796,0.01919651513920598,0.015468227206998926,0.05594681728180207,0.00497507188160854,0.07392804327922983,0.017597285767785714,0.01257607773826309,0.00041495822573041883,0.004604649677178234,0.0009984182226685614,5.871757653190827e-05,0.0010066151619479706,0.004516164168222019,0.0006976726206053835,0.0003745659227101496
483.6073549327854,0.011676993717464933,0.06494292566535688,0.012608070783546897,0.008109648233320294,0.03009004042535552,0.019709854622003902,0.015177192653420083,0.056009102459812395,0.004921426615693871,0.07407372617162958,0.017552667487977534,0.012592018233768789,0.0004086953520805614,0.004606766232904116,0.000967662448791002,3.440862869297519e-05,0.0009955451903961088,0.004517040581845296,0.0004454422155726647,0.00045948102326738447
483.3736152735622,0.011520096005511841,0.06475108403413969,0.012602548704935396,0.00809853235499135,0.02973442193342825,0.01938678134219843,0.01494611755130103,0.05600338501538619,0.004811237505362784,0.0739319279205902,0.017490668204279056,0.012591286511658252,0.0004118159296496976,0.0046085418267796975,0.0009783108792062196,2.6651891734928753e-05,0.0010091593072470723,0.004549495222769317,0.0005095004991843664,0.000477868813527895
483.1401014497585,0.01141140596849341,0.0646774020054688,0.012595559962535377,0.008087589957925504,0.02931556092053119,0.019404790325283226,0.014815769802286693,0.056262165479008065,0.005099217713692578,0.0739394124948835,0.017479150500800483,0.012641111293822286,0.0004086211999034629,0.004612975186826597,0.0010164200831900324,3.4703969008160695e-05,0.0010014950409001442,0.004503715532762042,0.0007538281041403014,0.0005736885620458743
482.9068131342347,0.011455801293579138,0.06474613409020041,0.01258142470580514,0.008080700530238545,0.02972355183253466,0.020336030618053624,0.01512861814700096,0.05562852560050057,0.005318008628624089,0.07362725425448655,0.01748385752936973,0.012508020994430553,0.00042690270058607716,0.004610103144905962,0.0008865964485046758,0.00011270162966053301,0.0009974549676455698,0.004509738868811115,0.0001435001540790778,0.0007055200423407296
482.67375000048264,0.011399290666961794,0.06459544329198168,0.012578132387666698,0.008090108698116116,0.029634227704572174,0.019660981196511967,0.015260151561700512,0.055809734806599114,0.0051566415078109365,0.07364255503240945,0.017536081479192486,0.012534284778420677,0.00040155728355169393,0.004600266452553804,0.000944192838270379,5.361154242104926e-05,0.000998523197873952,0.00452090368649512,0.00032202750416821955,0.0005260326674138823
482.4409117226243,0.011408969504570888,0.06459495938422731,0.01257237288167163,0.008088961215195261,0.03018676728255744,0.0185350883254122,0.01500812234555573,0.05589865548208047,0.004777830257394342,0.07405572250254477,0.017494789176687134,0.012555770082397551,0.0004002942140406875,0.0045920642231224796,0.0009666382019946421,3.37278042281912e-05,0.0009864075741767005,0.004519456012435724,0.00045136499202175765,0.0005191857672227356
482.2082979754099,0.011377804989577387,0.06461814320899058,0.012567644452807341,0.008082192035146396,0.028346812840130253,0.01989207933030038,0.014892910139792482,0.05604433732839101,0.005013479149326467,0.07385436204666253,0.017467865775866134,0.012565718332376392,0.00034958413108343887,0.00460962899325175,0.0009944440872098638,7.307836319251764e-06,0.0009631430411187619,0.0045508198381705904,0.0006537807297292151,0.0005924757325724198
481.97590843421693,0.011454465894934217,0.06453643339040352,0.012565237368576546,0.008076102490830584,0.03064170030756201,0.022045517395928284,0.014700248998878408,0.05585174011050763,0.006328178718417406,0.07287258724799324,0.01742032479525346,0.012563568150406644,0.0004346956251969371,0.004647150112852677,0.0011947305380171796,0.00019293301869673237,0.0009609197312451284,0.004557675193686364,0.001948694044954445,0.001722988569983899
481.7437427750482,0.011470683258500572,0.06459563890005494,0.012562663812213343,0.008079689652271297,0.031800505328235404,0.022014178260339617,0.014924799551518729,0.05591314405611961,0.006184495285252557,0.07267439879951595,0.017473205591871276,0.0125533370348027,0.00037267444336838154,0.004633275755609404,0.0007619918517295146,0.00023621873875571565,0.0009354327695321542,0.004600729932402582,0.0009002043356579033,0.001290826973006549
481.51180067453066,0.011486098711554347,0.064609987015973,0.012557077598277285,0.008069723431391663,0.03151792134108761,0.0170522895651209,0.014967294840191799,0.055826384300889126,0.003996675670274323,0.07468898143214604,0.017470873477731127,0.012512778431445512,0.00035835593516753085,0.004648108146833779,0.0008691139276507192,0.00012804242690617047,0.0008781958982484655,0.004699482087698603,0.00018994529942044922,0.0006972756293266491
481.2800818099135,0.01140770357644312,0.06451882453231635,0.012550232223993662,0.008065540369462042,0.023211949021290337,0.022963432031186125,0.0148460572654842,0.05567878621615435,0.006085173652468669,0.07409323030251003,0.017385074988377557,0.012384068131621854,0.000303931859741274,0.004886533449831555,0.0008894417198662551,0.00010140916187991283,0.0008412097141698402,0.005297693066252432,3.542917973056772e-05,0.0005976099807909072
481.0485858590669,0.011494537165795835,0.06438217194156992,0.012550314933217411,0.008061505702072778,0.03469518715949206,0.02443401612802902,0.015026173446764409,0.05571621808371495,0.00715499671177474,0.07161290412649478,0.01747440044217779,0.01252994849481744,0.0006236925056194028,0.004396506813278037,0.0008922695484938618,0.00010875998927489522,0.0014628274406518474,0.003917442633981652,5.516174754316689e-05,0.0005573139983035315
